symbol,company,industry,as_of,is_provisional,setup_family,alert_status,priority,alert_priority_score,score_structure,score_rs,score_test_quality,score_readiness,score_market_sector,score_risk_execution,market_gate,sector_breadth_ma20d,price,support_proxy,stop_proxy,breakout_level,breakout_days_ago,visible_t1,rr_to_visible_t1,buy_at_market_gate,adv20,liquidity_gate,extension_vs_ma20d,distance_from_support,extension_risk,reversal_risk,spread_ratio,close_location,volume_pace_proxy,ret_20d,ret_60d,rs_20d_vs_vnindex,rs_60d_vs_vnindex,rs_20d_vs_sector,rs_60d_vs_sector,down_market_defense_proxy,weekly_ret_12w,weekly_ret_26w,evidence,counter_evidence,method_status,method_note
HAS,CTCP Hacisco,Xây dựng,2026-09-17,False,LPS_CANDIDATE,EOD_CANDIDATE,P1,88,25,20,20,9,6,8,PASS,0.25925925925925924,10.15,9.49,9.44255,10.8,5.0,11.4,1.7669093222135848,REVIEW,4175.0,CAUTION,0.01571099769838913,0.06954689146469972,LOW,LOW,0.8965517241379308,1.0,0.75,0.29961587708066584,0.11538461538461542,0.24444238536450458,0.13429834102256344,0.3435183161050561,0.22427350427350423,0.004668994992968296,0.0809371671991479,0.25308641975308643,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Higher-support pullback / LPS-like test,ADV20 liquidity caution,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba,"SX Thiết bị, máy móc",2026-09-18,True,LPS_CANDIDATE,READY,P1,85,25,20,15,9,6,10,PASS,0.5,13.85,13.5,13.4325,13.2,16.0,14.55,1.6766467065868271,PASS,349640.0,PASS,0.005079825834542806,0.025925925925925908,LOW,LOW,0.5333333333333314,0.5,0.5449330530043156,0.0778210116731517,0.12418831168831157,0.022647519956990436,0.1431020373262596,0.05254686947293946,0.09461842768881595,0.007753960175792782,0.11693548387096775,0.43523316062176165,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Recent volume contraction | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
STB,Ngân hàng TMCP Sài Gòn Tài Lộc,Ngân hàng,2026-09-18,True,BUEC_CANDIDATE,TRIGGERED_PROVISIONAL,P1,85,25,14,20,14,6,6,PASS,0.4782608695652174,77.3,73.5,73.1325,76.6,9.0,79.0,0.4079184163167369,FAIL_RR,3554275.0,PASS,0.021946060285563007,0.05170068027210872,LOW,LOW,0.8823529411764691,0.7333333333333295,0.4844683675214371,0.02695417789757415,0.0702247191011236,-0.02821931381858711,0.08913844473907162,0.031246023391136468,0.10477756462957899,0.001711350492042023,0.03392130257801895,0.20189274447949535,Weekly trend/position supportive | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Recent volume contraction | Pullback holds recent breakout zone,Latest bar is provisional; intraday signal only | R:R to visible T1 < 1.5R,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
DHM,CTCP Đầu tư và Thương mại DHM,Khai khoáng,2026-09-18,True,BUEC_CANDIDATE,READY,P1,83,20,20,15,14,10,4,PASS,0.5555555555555556,6.91,6.6,6.566999999999999,7.0,10.0,7.04,0.3790087463556839,FAIL_RR,5385.0,CAUTION,0.013716716790141747,0.046969696969697106,LOW,LOW,0.0,,0.15022091310751104,0.06461538461538452,0.10015898251192357,0.009441892899223259,0.11907270814987159,0.004391294979530169,0.19490852988669727,0.00416308970569876,0.15333333333333332,0.09841269841269851,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Pullback holds recent breakout zone | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only | ADV20 liquidity caution | R:R to visible T1 < 1.5R,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
SMB,CTCP Bia Sài Gòn - Miền Trung,Thực phẩm - Đồ uống,2026-09-18,True,BUEC_CANDIDATE,TRIGGERED_PROVISIONAL,P1,83,25,14,20,14,6,4,PASS,0.16666666666666666,40.35,40.05,39.84975,40.2,12.0,40.85,0.99950024987506,FAIL_RR,8995.0,CAUTION,0.0033569563595676755,0.0074906367041198685,LOW,LOW,0.25000000000000444,1.0,0.2888030888030888,0.03316326530612246,0.04381443298969079,-0.022010226410038802,0.06272815862763881,0.04260343727889343,0.06935027925724441,0.010391343861664848,0.046511627906976605,0.07398568019093066,Weekly trend/position supportive | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Pullback holds recent breakout zone,Latest bar is provisional; intraday signal only | ADV20 liquidity caution | R:R to visible T1 < 1.5R,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
VIC,Tập đoàn VINGROUP - CTCP,Bất động sản,2026-09-18,True,BUEC_CANDIDATE,READY,P1,81,25,16,15,9,6,10,PASS,0.25,241.6,235.6,234.422,244.5,9.0,265.0,3.259960991919757,PASS,5821555.0,PASS,0.0407064398018524,0.025466893039049143,LOW,LOW,0.4316546762589926,0.03333333333333144,0.24899574999929308,0.21818181818181803,0.0973612374886259,0.16300832646565677,0.11627496312657393,0.26182959300114095,0.2653099554373438,-0.0021002200488662815,0.05789473684210522,0.7866666666666666,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Recent spread contraction | Recent volume contraction | Pullback holds recent breakout zone | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
MCH,CTCP Hàng tiêu dùng Masan,Thực phẩm - Đồ uống,2026-09-18,True,BUEC_CANDIDATE,READY,P1,80,15,20,15,14,6,10,PASS,0.16666666666666666,144.5,140.8,140.096,145.0,0.0,184.45,9.071298819255228,PASS,516330.0,PASS,0.02188748629822146,0.02627840909090895,LOW,LOW,0.7317073170731717,0.06666666666666288,0.8374384236453202,0.0635500365230095,0.1498973305954825,0.00837654480684824,0.1688110562334305,0.07299020849578047,0.1754331768630361,0.007402848905362443,0.15619788771539733,-0.04674610449129246,RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Pullback holds recent breakout zone,Latest bar is provisional; intraday signal only,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
NCT,CTCP Dịch vụ Hàng hóa Nội Bài,Vận tải - kho bãi,2026-09-18,True,BUEC_CANDIDATE,TRIGGERED_PROVISIONAL,P1,77,15,14,20,14,6,8,PASS,0.37142857142857144,84.4,83.7,83.28150000000001,84.1,7.0,86.3,1.6987036209208726,REVIEW,15680.0,CAUTION,0.007701032774162897,0.008363201911589124,LOW,LOW,1.0,1.0,0.8705009276437847,0.013268998793727338,-0.008381537008617546,-0.04190449292243392,0.010532188629330475,0.016016251540980075,0.028042304050985067,0.006188643162926137,-0.03136531365313655,-0.0019011406844106071,RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Recent volume contraction | Pullback holds recent breakout zone,Latest bar is provisional; intraday signal only | ADV20 liquidity caution,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
VPL,CTCP Vinpearl,"Dịch vụ lưu trú, ăn uống, giải trí",2026-09-18,True,BUEC_CANDIDATE,READY,P1,77,20,14,15,14,6,8,PASS,0.3333333333333333,85.3,81.6,81.192,84.0,6.0,92.3,1.7039922103213225,PASS,886050.0,PASS,0.06952542160366115,0.04534313725490202,MEDIUM,LOW,0.9803921568627435,0.08000000000000114,0.8252106849175136,0.1399999999999999,-0.06964091403699679,0.08482650828383864,-0.05072718839904877,0.17527489176683414,0.041847100436092244,0.008036376482282991,-0.03716216216216217,0.08227848101265822,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Pullback holds recent breakout zone | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
DPM,Tổng công ty Phân bón và Hóa chất Dầu khí - CTCP,SX Nhựa - Hóa chất,2026-09-18,True,BUEC_CANDIDATE,TRIGGERED_PROVISIONAL,P1,76,10,20,20,14,6,6,PASS,0.52,23.0,21.8,21.691,22.9,10.0,23.75,0.572956455309396,FAIL_RR,3533555.0,PASS,0.02667113045419045,0.05504587155963292,LOW,LOW,0.666666666666669,0.7142857142857114,0.7914869573406159,0.06511627906976747,0.042805100182149225,0.009942787353606208,0.061718825820097245,0.07638035916989261,0.09429024869700076,0.002396496503612767,0.07967939651107958,-0.15216586449463176,RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Pullback holds recent breakout zone,Latest bar is provisional; intraday signal only | R:R to visible T1 < 1.5R,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
TVS,CTCP Chứng khoán Thiên Việt,Chứng khoán,2026-09-18,True,LPS_CANDIDATE,TRIGGERED_PROVISIONAL,P1,76,25,20,8,9,6,8,PASS,0.1,14.5,14.1,14.029499999999999,14.65,6.0,15.25,1.594048884165777,REVIEW,145495.0,CAUTION,0.025097207493814055,0.028368794326241176,LOW,LOW,1.0416666666666659,0.8000000000000007,1.0672032193158953,0.05535055350553497,0.18672199170124482,0.00017706178937371142,0.20563571733919284,0.082400446037661,0.3312951362743894,0.009322132452123228,0.027298850574712707,0.11284046692607008,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent volume contraction | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only | ADV20 liquidity caution,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.
